id|score
1|0.99886
2|0.9954
3|0.11077
4|5.7e-4
5|0.03484
6|0.9877
7|0.99795
8|0.00223
9|0.99935
10|0.00352
11|0.00182
12|0.99727
13|0.99819
14|0.99877
15|0.96235
16|4.4e-4
17|0.00272
18|0.99781
19|0.99944
20|0.58636
21|0.93771
22|0.99659
23|0.99117
24|0.99967
25|0.99846
26|0.00223
27|0.96524
28|0.99854
29|0.99876
30|0.97279
31|0.00501
32|0.9783
33|0.99924
34|0.99941
35|0.00389
36|0.99958
37|0.99944
38|0.98785
39|7.8e-4
40|0.00255
41|5e-4
42|0.99959
43|0.99903
44|0.99672
45|0.99951
46|0.00644
47|9.8e-4
48|0.98984
49|0.99958
50|0.99114
51|0.99944
52|0.00184
53|0.00249
54|0.00461
55|0.99534
56|0.99872
57|0.97837
58|0.99726
59|0.0041
60|0.99095
61|0.00103
62|0.99653
63|0.0024
64|0.99878
65|0.98645
66|0.99871
67|0.9992
68|0.99893
69|0.96251
70|0.99795
71|0.00339
72|0.00125
73|0.99809
74|0.99816
75|4.1e-4
76|0.00112
77|0.99891
78|0.00125
79|0.99955
80|0.99681
81|3.4e-4
82|0.00146
83|0.99905
84|0.99705
85|8.2e-4
86|0.99236
87|0.99626
88|0.98529
89|0.99926
90|6.3e-4
91|0.99418
92|0.98293
93|0.9993
94|0.9922
95|0.99842
96|0.99906
97|0.00331
98|0.99442
99|0.997
100|0.99925
101|0.99296
102|0.00128
103|0.99968
104|0.99714
105|0.99876
106|0.13003
107|0.00141
108|0.98604
109|0.99713
110|0.97313
111|0.00173
112|0.9978
113|0.99824
114|0.99798
115|0.00136
116|6.4e-4
117|0.99277
118|0.99928
119|3.8e-4
120|0.9763
121|0.97078
122|0.98287
123|0.99958
124|0.98797
125|0.9992
126|0.00584
127|9.8e-4
128|0.99468
129|0.00109
130|0.99929
131|0.99827
132|0.99783
133|0.00226
134|0.99034
135|0.99771
136|0.00132
137|0.98377
138|0.99973
139|0.00113
140|0.99962
141|0.98016
142|0.99812
143|0.00214
144|0.97222
145|0.99602
146|0.96693
147|0.9968
148|0.00105
149|0.00126
150|0.98224
151|0.00328
152|0.99349
153|0.98539
154|0.99852
155|8.7e-4
156|0.99605
157|0.00329
158|0.00164
159|0.00239
160|0.99965
161|0.99962
162|0.99875
163|0.00117
164|0.98407
165|0.99597
166|0.87263
167|0.91144
168|0.99509
169|0.99876
170|0.22176
171|0.99339
172|0.00377
173|0.0018600000000000001
174|0.00495
175|0.00506
176|0.00135
177|0.99514
178|0.99002
179|0.99888
180|0.00179
181|0.99806
182|0.99833
183|0.99795
184|0.99067
185|0.00177
186|0.00504
187|0.99953
188|0.99919
189|0.99802
190|9.7e-4
191|0.99946
192|0.0038
193|0.63862
194|0.99923
195|0.00432
196|0.99898
197|0.91376
198|0.00129
199|0.99655
200|0.99957
201|0.00631
202|0.00365
203|0.92249
204|6.4e-4
205|0.98736
206|0.00289
207|0.01381
208|0.99806
209|0.99799
210|0.93858
211|0.0017
212|0.00432
213|0.00137
214|0.99715
215|0.99748
216|0.00629
217|0.99842
218|0.00152
219|0.99927
220|0.89393
221|0.99967
222|0.0054
223|0.00562
224|0.00234
225|0.00122
226|0.00133
227|0.0012
228|0.99791
229|0.00533
230|0.99944
231|0.99895
232|0.94834
233|0.00506
234|0.99953
235|7.6e-4
236|0.77456
237|0.00185
238|0.00168
239|0.99909
240|0.00539
241|0.9832
242|3.9e-4
243|0.99889
244|0.00165
245|8.3e-4
246|0.99922
247|0.00124
248|0.99409
249|0.00132
250|0.99808
251|0.99939
252|0.99925
253|0.00221
254|0.9991
255|0.98471
256|0.99884
257|0.95521
258|0.99245
259|0.99901
260|0.9315
261|0.99872
262|0.99635
263|0.00262
264|0.99807
265|0.99625
266|0.98592
267|0.00136
268|0.0011
269|0.00212
270|4.5e-4
271|0.99837
272|0.9315
273|0.99334
274|0.99884
275|0.99301
276|0.99892
277|0.00158
278|0.98933
279|0.99751
280|7.4e-4
281|0.9905
282|0.99915
283|0.9987
284|0.00158
285|0.99888
286|8.4e-4
287|0.09122
288|0.0023
289|0.99834
290|0.99824
291|9.4e-4
292|0.99126
293|0.99228
294|0.99769
295|0.00325
296|0.99229
297|0.99867
298|0.98803
299|0.99379
300|0.00134
301|0.00109
302|0.00373
303|0.9992
304|0.00268
305|0.99829
306|0.00223
307|0.00601
308|0.00479
309|0.99871
310|0.99959
311|0.00151
312|0.99782
313|0.00295
314|0.00422
315|0.99913
316|0.99951
317|0.00719
318|0.97349
319|0.00137
320|0.99963
321|0.9542
322|0.00326
323|0.9977
324|0.00165
325|0.99826
326|0.00267
327|0.00612
328|0.00269
329|8.5e-4
330|0.99655
331|8.1e-4
332|0.00602
333|0.00496
334|0.99909
335|0.00171
336|0.00278
337|0.97297
338|0.99869
339|0.00459
340|0.99785
